CDUID,OFFICIAL_NAME,LINK_TEXT,LINK,,,
3521,REGIONAL MUNICIPALITY OF PEEL,The Peel Climate Change Partnership,https://www.peelregion.ca/climate-energy/partnership.asp,,,Information
3521,REGIONAL MUNICIPALITY OF PEEL,Peel 2041+ Regional Official Plan Review and Municpal Comprehensive Review - Water Resources Policy Review and Update,https://www.peelregion.ca/officialplan/review/pdf/peel-2041-water-resources-policy-review-and-update.pdf,18-Mar-21,,Information
3521,REGIONAL MUNICIPALITY OF PEEL,Peel2041 Protecting Water Resources: Source Protection Plan Implementation,https://www.peelregion.ca/planning/officialplan/pdfs/water-resources-discussion-swp.pdf,"November, 2018",,Information
3521,REGIONAL MUNICIPALITY OF PEEL,Water Resources,https://www.peelregion.ca/officialplan/review/focus-areas/water.asp,04-Nov-22,,Policy
3518,REGIONAL MUNICIPALITY OF DURHAM,Durham Emergency Preparedness,https://www.durham.ca/en/living-here/emergency-preparedness.aspx,,,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Adaptation and Resilience,https://www.durham.ca/en/living-here/adaptation-and-resilience.aspx#Preparing-for-Flooding-or-extreme-Weather,,,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Durham Region's Future Climate Volume 1,https://www.durham.ca/en/living-here/resources/Documents/EnvironmentalStability/DurhamsFutureClimateStudy_Volume1.pdf,"December, 2013",,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Durham Region's Future Climate Volume 2,https://www.durham.ca/en/living-here/resources/Documents/EnvironmentalStability/DurhamsFutureClimateStudy_Volume2.pdf,"December, 2013",,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Durham Region's Future Climate (2040-2049) Summary,https://www.durham.ca/en/living-here/resources/Documents/EnvironmentalStability/DurhamsFutureClimateStudy_Executive-Summary.pdf,21-Jan-14,16-Apr-14,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Towards Resilience: Durham Community Climate Adaptation Plan,https://www.durham.ca/en/living-here/resources/Documents/EnvironmentalStability/DCCAP_Print.pdf,14-Dec-16,,Information
3518,REGIONAL MUNICIPALITY OF DURHAM,Climate Resiliency: A Resident's Guide,https://www.uxbridge.ca/en/your-local-government/resources/Plans-Reports-Studies/DEAC-Residents-Guide-to-Climate-Resiliency.pdf,,,Information
3524,REGIONAL MUNICIPALITY OF HALTON,Basement Flooding Mitigation Program,https://www.halton.ca/For-Residents/Roads-Construction/Construction-Projects/Basement-Flooding-Program,,,Information
3524,REGIONAL MUNICIPALITY OF HALTON,A Guide to Flooding Prevention and Recovery,https://www.halton.ca/Repository/A-Guide-to-Flooding-Prevention-And-Recovery,,,Information
